1	0	130966	2
1	0	1852545	0
1	0	1942180	0
1	0	1994002	0
1	0	2232040	0
1	0	2267791	1
1	0	2635122	1
1	0	2729419	1
1	0	2737775	1
1	0	3078282	2
1	0	3199072	2
1	0	3259311	2
5	0	2244628	1
5	0	2567096	1
5	0	2567289	0
5	0	2567299	0
5	0	2627179	2
5	0	2887806	2
14	0	1794449	1
14	0	1858696	0
14	0	1866702	0
14	0	2254469	0
14	0	2443793	0
14	0	2496697	1
14	0	2518380	2
14	0	2559826	1
14	0	2627525	1
14	0	2828440	2
14	0	2994656	2
14	0	3150839	2
17	0	2246105	0
17	0	2254639	0
17	0	2572586	1
17	0	2609891	2
17	0	3782364	1
17	0	3806164	2
27	0	1468413	1
27	0	1853078	1
27	0	1891278	1
27	0	1936313	0
27	0	1964547	0
27	0	1976608	1
27	0	2364167	2
27	0	3537269	0
27	0	3632172	0
27	0	3661963	2
27	0	3666422	2
27	0	3710774	2
28	0	3337801	0
28	0	3356124	2
28	0	3368296	2
28	0	3420498	1
28	0	3444845	0
28	0	3461630	1
